# Time-averaged data for fix rdf
# TimeStep Number-of-rows
# Row c_gofr[1] c_gofr[2] c_gofr[3] c_gofr[4] c_gofr[5] c_gofr[6] c_gofr[7]
10000 500
219 6.555 0.878138 159.199 0.855715 8.57036 0.896879 8.18186
220 6.585 0.885376 161.167 0.861037 8.66886 0.904521 8.28555
221 6.615 0.894519 163.173 0.872589 8.7696 0.913809 8.39127
222 6.645 0.904867 165.22 0.885241 8.87272 0.924687 8.49921
223 6.675 0.91673 167.313 0.891199 8.97748 0.93543 8.6094
224 6.705 0.929448 169.454 0.908532 9.08524 0.948033 8.72207
225 6.735 0.943124 171.647 0.917952 9.19509 0.961172 8.83734
226 6.765 0.958003 173.894 0.931094 9.30751 0.975004 8.9553
227 6.795 0.973119 176.196 0.94461 9.42258 0.989485 9.07609
228 6.825 0.988597 178.556 0.963812 9.54102 1.00304 9.19961
229 6.855 1.00391 180.973 0.977023 9.66215 1.0163 9.32586
230 6.885 1.01884 183.448 0.997173 9.78685 1.02938 9.45487
231 6.915 1.03406 185.982 1.00004 9.91301 1.04305 9.58672
232 6.945 1.04777 188.572 1.01933 10.0427 1.05555 9.72132
233 6.975 1.06091 191.217 1.02482 10.1743 1.06583 9.85841
234 7.005 1.07281 193.915 1.03709 10.3085 1.07579 9.99797
235 7.035 1.08328 196.662 1.04463 10.4449 1.08367 10.1398
236 7.065 1.09228 199.456 1.05306 10.5836 1.09103 10.2837
237 7.095 1.09969 202.293 1.05906 10.7242 1.09603 10.4296
238 7.125 1.10564 205.169 1.0602 10.8662 1.1006 10.5773
239 7.155 1.10969 208.08 1.06278 11.0098 1.10357 10.7267
240 7.185 1.11214 211.023 1.06458 11.1548 1.1044 10.8774
241 7.215 1.11271 213.991 1.06596 11.3012 1.10403 11.0293
242 7.245 1.11134 216.98 1.0696 11.4493 1.10049 11.182
243 7.275 1.10935 219.989 1.06461 11.5979 1.0978 11.3356
244 7.305 1.10581 223.013 1.06484 11.7478 1.09362 11.4899
245 7.335 1.10076 226.048 1.05917 11.8982 1.08941 11.6449
246 7.365 1.09464 229.091 1.04815 12.0482 1.08389 11.8003
247 7.395 1.08737 232.138 1.0409 12.1984 1.07697 11.956
248 7.425 1.07928 235.187 1.03625 12.3491 1.06857 12.1118
249 7.455 1.07028 238.235 1.02606 12.4995 1.06005 12.2675
250 7.485 1.06138 241.283 1.0168 12.6498 1.05118 12.4232
251 7.515 1.05201 244.327 1.01079 12.8004 1.04286 12.5789
252 7.545 1.04225 247.368 1.00916 12.952 1.03288 12.7344
253 7.575 1.03203 250.402 0.996383 13.1028 1.02385 12.8897
254 7.605 1.02248 253.433 0.99198 13.2542 1.01461 13.0448
255 7.635 1.01231 256.457 0.98624 13.4059 1.00551 13.1998
256 7.665 1.00256 259.475 0.976746 13.5573 0.997392 13.3547
257 7.695 0.993759 262.491 0.972883 13.7092 0.988681 13.5095
258 7.725 0.984967 265.503 0.96838 13.8617 0.97994 13.6641
259 7.755 0.976631 268.513 0.954803 14.0132 0.973767 13.8189
260 7.785 0.96842 271.521 0.949244 14.165 0.967179 13.9739
261 7.815 0.961492 274.53 0.945578 14.3173 0.960385 14.1289
262 7.845 0.955121 277.542 0.9379 14.4696 0.954096 14.2842
263 7.875 0.949008 280.558 0.933735 14.6224 0.950393 14.44
264 7.905 0.943875 283.581 0.938037 14.777 0.94563 14.5962
265 7.935 0.939189 286.611 0.935839 14.9325 0.941595 14.7529
266 7.965 0.935505 289.652 0.933781 15.0888 0.938746 14.9104
267 7.995 0.932342 292.706 0.938592 15.2471 0.936347 15.0686
268 8.025 0.930089 295.776 0.935158 15.4059 0.934772 15.2278
269 8.055 0.92825 298.862 0.931528 15.5654 0.933463 15.3879
270 8.085 0.927344 301.969 0.929907 15.7258 0.933672 15.5492
271 8.115 0.927315 305.098 0.937343 15.8886 0.934683 15.712
272 8.145 0.928123 308.253 0.938263 16.0528 0.935666 15.8761
273 8.175 0.929606 311.437 0.939689 16.2185 0.938381 16.0419
274 8.205 0.931728 314.651 0.941946 16.3858 0.941045 16.2094
275 8.235 0.934437 317.899 0.947218 16.5553 0.943756 16.3786
276 8.265 0.938105 321.183 0.947568 16.7261 0.946835 16.5496
277 8.295 0.942445 324.506 0.954478 16.8993 0.951095 16.7226
278 8.325 0.947239 327.87 0.956278 17.0742 0.95676 16.8979
279 8.355 0.952298 331.277 0.961204 17.2512 0.962514 17.0755
280 8.385 0.957841 334.728 0.968185 17.4308 0.966785 17.2552
281 8.415 0.964089 338.226 0.975416 17.613 0.973454 17.4374
282 8.445 0.970574 341.773 0.978027 17.797 0.978857 17.622
283 8.475 0.977306 345.371 0.98142 17.983 0.985042 17.809
284 8.505 0.984468 349.02 0.989385 18.1718 0.992457 17.9988
285 8.535 0.991563 352.721 0.998564 18.3637 0.998529 18.1911
286 8.565 0.999238 356.478 1.00184 18.5576 1.00444 18.3859
287 8.595 1.00666 360.289 1.00175 18.7528 1.01171 18.5835
288 8.625 1.01362 364.153 1.01021 18.9511 1.01909 18.7839
289 8.655 1.02073 368.071 1.01846 19.1524 1.02422 18.9868
290 8.685 1.027 372.041 1.02342 19.356 1.02979 19.1921
291 8.715 1.03349 376.064 1.0303 19.5625 1.03516 19.4
292 8.745 1.03925 380.136 1.03958 19.7722 1.04035 19.6103
293 8.775 1.04445 384.258 1.04077 19.9837 1.04376 19.8228
294 8.805 1.04906 388.426 1.04086 20.1966 1.04702 20.0374
295 8.835 1.053 392.638 1.04752 20.4123 1.05037 20.2542
296 8.865 1.05583 396.89 1.04899 20.6298 1.05251 20.4728
297 8.895 1.0579 401.179 1.04793 20.8485 1.05402 20.6933
298 8.925 1.05939 405.504 1.05301 21.0698 1.05412 20.9153
299 8.955 1.05976 409.859 1.05519 21.2931 1.05501 21.139
300 8.985 1.05974 414.243 1.04757 21.5162 1.05398 21.3639
301 9.015 1.05865 418.652 1.04542 21.7403 1.05233 21.59
302 9.045 1.05747 423.085 1.04283 21.9654 1.05098 21.8173
303 9.075 1.05512 427.538 1.042 22.1918 1.04788 22.0455
304 9.105 1.05188 432.007 1.03758 22.4187 1.04466 22.2744
305 9.135 1.04828 436.49 1.0318 22.6459 1.04117 22.5041
306 9.165 1.04454 440.986 1.02956 22.874 1.03705 22.7344
307 9.195 1.03993 445.492 1.02427 23.1025 1.03209 22.9651
308 9.225 1.03488 450.005 1.01728 23.3309 1.02776 23.1963
309 9.255 1.02931 454.523 1.01449 23.5602 1.02348 23.4281
310 9.285 1.02376 459.046 1.00698 23.7892 1.01814 23.6602
311 9.315 1.01883 463.576 1.00114 24.0184 1.01298 23.8925
312 9.345 1.01343 468.111 0.997691 24.2482 1.00737 24.1251
313 9.375 1.00767 472.65 0.992021 24.4783 1.00298 24.3582
314 9.405 1.00172 477.19 0.984762 24.7081 0.996751 24.5912
315 9.435 0.996081 481.734 0.981664 24.9386 0.992258 24.8248
316 9.465 0.990871 486.283 0.978093 25.1698 0.988193 25.0588
317 9.495 0.985807 490.838 0.97379 25.4014 0.983541 25.2932
318 9.525 0.980595 495.397 0.972452 25.6342 0.979282 25.5281
319 9.555 0.976123 499.964 0.97056 25.8679 0.976243 25.7637
320 9.585 0.971965 504.54 0.967268 26.1024 0.971652 25.9997
321 9.615 0.968216 509.127 0.963368 26.3374 0.969564 26.2367
322 9.645 0.964991 513.727 0.956395 26.5721 0.966283 26.4744
323 9.675 0.962131 518.342 0.957836 26.8086 0.964195 26.713
